run_id,model,history_steps,local_grid,structured_output,max_steps,reached_goal,final_distance,min_distance,invalid_move_rate,loop_rate,fallback_rate
run_20260205_142544,qwen3:8b,10,False,True,60,False,,,0.0,0.15,1.0
run_20260205_142710,qwen3:8b,10,True,False,60,False,,,0.0,0.03333333333333333,0.0
run_20260205_142828,qwen3:8b,10,True,True,60,False,,,0.0,0.11666666666666667,1.0
run_20260205_143124,qwen3:8b,10,True,False,60,False,12,11,0.0,0.03333333333333333,0.0
run_20260205_144315,gpt-oss:20b,10,True,False,60,False,12,4,0.5333333333333333,0.11666666666666667,0.15
run_20260205_153011,phi3:mini,10,True,False,60,False,5,4,0.31666666666666665,0.15,0.11666666666666667
run_20260205_153948,llama3.2:3b,10,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260205_154033,llama3.2:3b,10,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260205_154151,llama3.2:3b,10,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260205_154305_1,llama3.2:3b,10,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260205_154305_2,llama3.2:3b,10,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260205_154305_3,llama3.2:3b,10,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260205_154305_4,llama3.2:3b,10,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260205_154305_5,llama3.2:3b,10,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260209_134011,llama3.2:3b,0,False,False,60,False,11,11,0.9166666666666666,0.016666666666666666,0.016666666666666666
run_20260209_134134_1,llama3.2:3b,10,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260209_134134_2,llama3.2:3b,10,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_134134_3,llama3.2:3b,10,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_134134_4,llama3.2:3b,10,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_134134_5,llama3.2:3b,10,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260209_134805_1,llama3.2:3b,0,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260209_134805_2,llama3.2:3b,0,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_134805_3,llama3.2:3b,0,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_134805_4,llama3.2:3b,0,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_134805_5,llama3.2:3b,0,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260209_135126_1,llama3.2:3b,5,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260209_135126_2,llama3.2:3b,5,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_135126_3,llama3.2:3b,5,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_135126_4,llama3.2:3b,5,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_135126_5,llama3.2:3b,5,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260209_135433_1,llama3.2:3b,10,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260209_135433_2,llama3.2:3b,10,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_135433_3,llama3.2:3b,10,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_135433_4,llama3.2:3b,10,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_135433_5,llama3.2:3b,10,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260209_135832_1,llama3.2:3b,20,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260209_135832_2,llama3.2:3b,20,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_135832_3,llama3.2:3b,20,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_140818_1,llama3.2:3b,20,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_140818_2,llama3.2:3b,20,True,False,60,False,10,8,0.9,0.03333333333333333,0.016666666666666666
run_20260209_140818_3,llama3.2:3b,20,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260209_141527_1,llama3.2:3b,20,True,False,60,False,10,8,0.9,0.016666666666666666,0.016666666666666666
run_20260209_141527_2,llama3.2:3b,20,True,False,60,False,10,8,0.9,0.016666666666666666,0.016666666666666666
run_20260209_141527_3,llama3.2:3b,20,True,False,60,True,0,0,0.45454545454545453,0.09090909090909091,0.045454545454545456
run_20260219_143111,llama3.2:3b,0,False,False,60,False,6,3,0.1,0.15,0.5666666666666667
run_20260219_145158,llama3.2:3b,10,True,False,60,False,2,2,0.13333333333333333,0.1,0.7333333333333333
run_20260219_201405_1,llama3.2:3b,0,True,False,60,False,11,4,0.18333333333333332,0.13333333333333333,0.5833333333333334
run_20260219_201405_10,llama3.2:3b,0,True,False,60,False,5,3,0.05,0.13333333333333333,0.6666666666666666
run_20260219_201405_2,llama3.2:3b,0,True,False,60,False,3,2,0.11666666666666667,0.18333333333333332,0.7333333333333333
run_20260219_201405_3,llama3.2:3b,0,True,False,60,False,8,2,0.06666666666666667,0.16666666666666666,0.7833333333333333
run_20260219_201405_4,llama3.2:3b,0,True,False,60,False,9,7,0.08333333333333333,0.16666666666666666,0.7833333333333333
run_20260219_201405_5,llama3.2:3b,0,True,False,60,False,4,4,0.1,0.15,0.7
run_20260219_201405_6,llama3.2:3b,0,True,False,60,False,7,2,0.08333333333333333,0.15,0.8
run_20260219_201405_7,llama3.2:3b,0,True,False,60,False,4,4,0.26666666666666666,0.15,0.55
run_20260219_201405_8,llama3.2:3b,0,True,False,60,True,0,0,0.0967741935483871,0.06451612903225806,0.6451612903225806
run_20260219_201405_9,llama3.2:3b,0,True,False,60,False,4,3,0.2,0.16666666666666666,0.6333333333333333
run_20260219_203521_1,llama3.2:3b,5,True,False,60,True,0,0,0.1282051282051282,0.1794871794871795,0.7948717948717948
run_20260219_203521_10,llama3.2:3b,5,True,False,60,False,5,3,0.08333333333333333,0.11666666666666667,0.7666666666666667
run_20260219_203521_2,llama3.2:3b,5,True,False,60,False,11,8,0.18333333333333332,0.1,0.43333333333333335
run_20260219_203521_3,llama3.2:3b,5,True,False,60,False,6,4,0.1,0.16666666666666666,0.65
run_20260219_203521_4,llama3.2:3b,5,True,False,60,True,0,0,0.05555555555555555,0.08333333333333333,0.6388888888888888
run_20260219_203521_5,llama3.2:3b,5,True,False,60,True,0,0,0.09523809523809523,0.14285714285714285,0.7380952380952381
run_20260219_203521_6,llama3.2:3b,5,True,False,60,True,0,0,0.07692307692307693,0.11538461538461539,0.7692307692307693
run_20260219_203521_7,llama3.2:3b,5,True,False,60,False,6,4,0.13333333333333333,0.15,0.6833333333333333
run_20260219_203521_8,llama3.2:3b,5,True,False,60,False,8,5,0.16666666666666666,0.16666666666666666,0.6833333333333333
run_20260219_203521_9,llama3.2:3b,5,True,False,60,False,6,5,0.06666666666666667,0.13333333333333333,0.6833333333333333
run_20260219_205250_1,llama3.2:3b,10,True,False,60,False,9,3,0.11666666666666667,0.18333333333333332,0.75
run_20260219_205250_10,llama3.2:3b,10,True,False,60,True,0,0,0.05263157894736842,0.0,0.6842105263157895
run_20260219_205250_2,llama3.2:3b,10,True,False,60,True,0,0,0.09090909090909091,0.09090909090909091,0.7090909090909091
run_20260219_205250_3,llama3.2:3b,10,True,False,60,False,5,4,0.08333333333333333,0.15,0.7833333333333333
run_20260219_205250_4,llama3.2:3b,10,True,False,60,False,7,6,0.08333333333333333,0.11666666666666667,0.7333333333333333
run_20260219_205250_5,llama3.2:3b,10,True,False,60,False,7,4,0.08333333333333333,0.18333333333333332,0.8166666666666667
run_20260219_205250_6,llama3.2:3b,10,True,False,60,False,3,3,0.08333333333333333,0.18333333333333332,0.6333333333333333
run_20260219_205250_7,llama3.2:3b,10,True,False,60,False,9,2,0.18333333333333332,0.15,0.7333333333333333
run_20260219_205250_8,llama3.2:3b,10,True,False,60,False,3,2,0.18333333333333332,0.13333333333333333,0.7
run_20260219_205250_9,llama3.2:3b,10,True,False,60,False,5,5,0.016666666666666666,0.11666666666666667,0.9
run_20260219_210949_1,llama3.2:3b,20,True,False,60,False,7,2,0.08333333333333333,0.13333333333333333,0.7
run_20260219_210949_10,llama3.2:3b,20,True,False,60,False,4,4,0.1,0.16666666666666666,0.8
run_20260219_210949_2,llama3.2:3b,20,True,False,60,False,8,5,0.06666666666666667,0.13333333333333333,0.8166666666666667
run_20260219_210949_3,llama3.2:3b,20,True,False,60,False,4,3,0.03333333333333333,0.16666666666666666,0.85
run_20260219_210949_4,llama3.2:3b,20,True,False,60,False,6,5,0.2,0.15,0.6833333333333333
run_20260219_210949_5,llama3.2:3b,20,True,False,60,False,6,2,0.13333333333333333,0.18333333333333332,0.6666666666666666
run_20260219_210949_6,llama3.2:3b,20,True,False,60,False,4,3,0.06666666666666667,0.15,0.7833333333333333
