run_dir,model,history_steps,local_grid,structured_output,max_steps,maze,chars_mean,chars_max,words_mean,words_max
run_20260205_142544,qwen3:8b,10,0,1,60,,1891.4666666666667,2062,365.9166666666667,399
run_20260205_142710,qwen3:8b,10,1,0,60,,1967.4666666666667,2138,374.9166666666667,408
run_20260205_142828,qwen3:8b,10,1,1,60,,1967.4666666666667,2138,375.98333333333335,410
run_20260205_143124,qwen3:8b,10,1,0,60,,1967.4666666666667,2138,374.9166666666667,408
run_20260205_144315,gpt-oss:20b,10,1,0,60,,1967.4666666666667,2138,375.56666666666666,410
run_20260205_153011,phi3:mini,10,1,0,60,,1967.4666666666667,2138,375.45,410
run_20260205_153948,llama3.2:3b,10,1,0,60,,1672.909090909091,2138,318.6363636363636,410
run_20260205_154033,llama3.2:3b,10,1,0,60,,1672.909090909091,2138,318.6363636363636,410
run_20260205_154151,llama3.2:3b,10,1,0,60,,1672.909090909091,2138,318.6363636363636,410
run_20260205_154305_1,llama3.2:3b,10,1,0,60,,1672.909090909091,2138,318.6363636363636,410
run_20260205_154305_2,llama3.2:3b,10,1,0,60,,1967.4666666666667,2138,376.55,410
run_20260205_154305_3,llama3.2:3b,10,1,0,60,,1967.4666666666667,2138,376.55,410
run_20260205_154305_4,llama3.2:3b,10,1,0,60,,1967.4666666666667,2138,376.55,410
run_20260205_154305_5,llama3.2:3b,10,1,0,60,,1672.909090909091,2138,318.6363636363636,410
run_20260209_134011,llama3.2:3b,0,0,0,60,,5643.166666666667,11071,1100.9166666666667,2163
run_20260209_134134_1,llama3.2:3b,10,1,0,60,,1672.909090909091,2138,318.6363636363636,410
run_20260209_134134_2,llama3.2:3b,10,1,0,60,,1967.4666666666667,2138,376.55,410
run_20260209_134134_3,llama3.2:3b,10,1,0,60,,1967.4666666666667,2138,376.55,410
run_20260209_134134_4,llama3.2:3b,10,1,0,60,,1967.4666666666667,2138,376.55,410
run_20260209_134134_5,llama3.2:3b,10,1,0,60,,1672.909090909091,2138,318.6363636363636,410
run_20260209_134805_1,llama3.2:3b,0,1,0,60,,2223.4545454545455,4155,426.6363636363636,804
run_20260209_134805_2,llama3.2:3b,0,1,0,60,,5719.166666666667,11147,1111.55,2174
run_20260209_134805_3,llama3.2:3b,0,1,0,60,,5719.166666666667,11147,1111.55,2174
run_20260209_134805_4,llama3.2:3b,0,1,0,60,,5719.166666666667,11147,1111.55,2174
run_20260209_134805_5,llama3.2:3b,0,1,0,60,,2223.4545454545455,4155,426.6363636363636,804
run_20260209_135126_1,llama3.2:3b,5,1,0,60,,1089.0454545454545,1218,204.0909090909091,230
run_20260209_135126_2,llama3.2:3b,5,1,0,60,,1170.7166666666667,1218,220.55,230
run_20260209_135126_3,llama3.2:3b,5,1,0,60,,1170.7166666666667,1218,220.55,230
run_20260209_135126_4,llama3.2:3b,5,1,0,60,,1170.7166666666667,1218,220.55,230
run_20260209_135126_5,llama3.2:3b,5,1,0,60,,1089.0454545454545,1218,204.0909090909091,230
run_20260209_135433_1,llama3.2:3b,10,1,0,60,,1672.909090909091,2138,318.6363636363636,410
run_20260209_135433_2,llama3.2:3b,10,1,0,60,,1967.4666666666667,2138,376.55,410
run_20260209_135433_3,llama3.2:3b,10,1,0,60,,1967.4666666666667,2138,376.55,410
run_20260209_135433_4,llama3.2:3b,10,1,0,60,,1967.4666666666667,2138,376.55,410
run_20260209_135433_5,llama3.2:3b,10,1,0,60,,1672.909090909091,2138,318.6363636363636,410
run_20260209_135832_1,llama3.2:3b,20,1,0,60,,2215.0,3971,425.0,768
run_20260209_135832_2,llama3.2:3b,20,1,0,60,,3330.9666666666667,3978,643.55,770
run_20260209_135832_3,llama3.2:3b,20,1,0,60,,3330.9666666666667,3978,643.55,770
run_20260209_135832_4,llama3.2:3b,20,1,0,60,,2131.4761904761904,3971,408.7142857142857,770
run_20260209_140818_1,llama3.2:3b,20,1,0,60,,3330.9666666666667,3978,643.55,770
run_20260209_140818_2,llama3.2:3b,20,1,0,60,,3330.9666666666667,3978,643.55,770
run_20260209_140818_3,llama3.2:3b,20,1,0,60,,2215.0,3971,425.0,768
run_20260209_141527_1,llama3.2:3b,20,1,0,60,,3330.9666666666667,3978,643.6166666666667,770
run_20260209_141527_2,llama3.2:3b,20,1,0,60,,3330.9666666666667,3978,643.6166666666667,770
run_20260209_141527_3,llama3.2:3b,20,1,0,60,,2215.0,3971,425.0,768
run_20260219_143111,llama3.2:3b,0,0,0,60,,4176.666666666667,7982,865.4166666666666,1662
run_20260219_145158,llama3.2:3b,10,1,0,60,,1623.8833333333334,1744,324.1166666666667,350
run_20260219_201405_1,llama3.2:3b,0,1,0,60,,4252.666666666667,8058,875.35,1673
run_20260219_201405_10,llama3.2:3b,0,1,0,60,,4252.666666666667,8058,875.2333333333333,1671
run_20260219_201405_2,llama3.2:3b,0,1,0,60,,4252.666666666667,8058,875.1666666666666,1673
run_20260219_201405_3,llama3.2:3b,0,1,0,60,,4252.666666666667,8058,875.0,1672
run_20260219_201405_4,llama3.2:3b,0,1,0,60,,4252.666666666667,8058,875.3666666666667,1673
run_20260219_201405_5,llama3.2:3b,0,1,0,60,,4252.666666666667,8058,875.1833333333333,1671
run_20260219_201405_6,llama3.2:3b,0,1,0,60,,4252.666666666667,8058,875.1,1672
run_20260219_201405_7,llama3.2:3b,0,1,0,60,,4252.666666666667,8058,875.3833333333333,1671
run_20260219_201405_8,llama3.2:3b,0,1,0,60,,2382.3225806451615,4317,484.1290322580645,889
run_20260219_201405_9,llama3.2:3b,0,1,0,60,,4252.666666666667,8058,875.7,1673
