model,history_steps,local_grid,structured_output,max_steps,maze,has_loop,has_invalid,has_fallback,loop_rate,invalid_rate,fallback_rate
qwen3:8b,10,0,1,60,,1,0,1,0.150000,0.000000,1.000000
qwen3:8b,10,1,0,60,,1,0,0,0.033333,0.000000,0.000000
qwen3:8b,10,1,1,60,,1,0,1,0.116667,0.000000,1.000000
qwen3:8b,10,1,0,60,,1,0,0,0.033333,0.000000,0.000000
gpt-oss:20b,10,1,0,60,,1,1,1,0.116667,0.533333,0.150000
phi3:mini,10,1,0,60,,1,1,1,0.150000,0.316667,0.116667
llama3.2:3b,10,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,10,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,10,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,10,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,10,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,10,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,10,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,10,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,0,0,0,60,,1,1,1,0.016667,0.916667,0.016667
llama3.2:3b,10,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,10,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,10,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,10,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,10,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,0,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,0,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,0,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,0,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,0,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,5,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,5,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,5,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,5,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,5,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,10,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,10,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,10,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,10,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,10,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,20,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,20,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,20,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,20,1,0,60,,1,1,1,0.095238,0.714286,0.047619
llama3.2:3b,20,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,20,1,0,60,,1,1,1,0.033333,0.900000,0.016667
llama3.2:3b,20,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,20,1,0,60,,1,1,1,0.016667,0.900000,0.016667
llama3.2:3b,20,1,0,60,,1,1,1,0.016667,0.900000,0.016667
llama3.2:3b,20,1,0,60,,1,1,1,0.090909,0.454545,0.045455
llama3.2:3b,0,0,0,60,,1,1,1,0.150000,0.100000,0.566667
llama3.2:3b,10,1,0,60,,1,1,1,0.100000,0.133333,0.733333
llama3.2:3b,0,1,0,60,,1,1,1,0.133333,0.183333,0.583333
llama3.2:3b,0,1,0,60,,1,1,1,0.133333,0.050000,0.666667
llama3.2:3b,0,1,0,60,,1,1,1,0.183333,0.116667,0.733333
llama3.2:3b,0,1,0,60,,1,1,1,0.166667,0.066667,0.783333
llama3.2:3b,0,1,0,60,,1,1,1,0.166667,0.083333,0.783333
llama3.2:3b,0,1,0,60,,1,1,1,0.150000,0.100000,0.700000
llama3.2:3b,0,1,0,60,,1,1,1,0.150000,0.083333,0.800000
llama3.2:3b,0,1,0,60,,1,1,1,0.150000,0.266667,0.550000
llama3.2:3b,0,1,0,60,,1,1,1,0.064516,0.096774,0.645161
llama3.2:3b,0,1,0,60,,1,1,1,0.166667,0.200000,0.633333
llama3.2:3b,5,1,0,60,,1,1,1,0.179487,0.128205,0.794872
llama3.2:3b,5,1,0,60,,1,1,1,0.116667,0.083333,0.766667
llama3.2:3b,5,1,0,60,,1,1,1,0.100000,0.183333,0.433333
llama3.2:3b,5,1,0,60,,1,1,1,0.166667,0.100000,0.650000
llama3.2:3b,5,1,0,60,,1,1,1,0.083333,0.055556,0.638889
llama3.2:3b,5,1,0,60,,1,1,1,0.142857,0.095238,0.738095
llama3.2:3b,5,1,0,60,,1,1,1,0.115385,0.076923,0.769231
llama3.2:3b,5,1,0,60,,1,1,1,0.150000,0.133333,0.683333
llama3.2:3b,5,1,0,60,,1,1,1,0.166667,0.166667,0.683333
llama3.2:3b,5,1,0,60,,1,1,1,0.133333,0.066667,0.683333
llama3.2:3b,10,1,0,60,,1,1,1,0.183333,0.116667,0.750000
llama3.2:3b,10,1,0,60,,0,1,1,0.000000,0.052632,0.684211
llama3.2:3b,10,1,0,60,,1,1,1,0.090909,0.090909,0.709091
llama3.2:3b,10,1,0,60,,1,1,1,0.150000,0.083333,0.783333
llama3.2:3b,10,1,0,60,,1,1,1,0.116667,0.083333,0.733333
llama3.2:3b,10,1,0,60,,1,1,1,0.183333,0.083333,0.816667
llama3.2:3b,10,1,0,60,,1,1,1,0.183333,0.083333,0.633333
llama3.2:3b,10,1,0,60,,1,1,1,0.150000,0.183333,0.733333
llama3.2:3b,10,1,0,60,,1,1,1,0.133333,0.183333,0.700000
llama3.2:3b,10,1,0,60,,1,1,1,0.116667,0.016667,0.900000
llama3.2:3b,20,1,0,60,,1,1,1,0.133333,0.083333,0.700000
llama3.2:3b,20,1,0,60,,1,1,1,0.166667,0.100000,0.800000
llama3.2:3b,20,1,0,60,,1,1,1,0.133333,0.066667,0.816667
llama3.2:3b,20,1,0,60,,1,1,1,0.166667,0.033333,0.850000
llama3.2:3b,20,1,0,60,,1,1,1,0.150000,0.200000,0.683333
llama3.2:3b,20,1,0,60,,1,1,1,0.183333,0.133333,0.666667
llama3.2:3b,20,1,0,60,,1,1,1,0.150000,0.066667,0.783333
llama3.2:3b,20,1,0,60,,1,1,1,0.166667,0.100000,0.733333
llama3.2:3b,20,1,0,60,,1,1,1,0.133333,0.133333,0.650000
llama3.2:3b,20,1,0,60,,1,1,1,0.133333,0.116667,0.750000
llama3.2:3b,0,1,0,80,,1,1,1,0.187500,0.112500,0.737500
llama3.2:3b,0,1,0,80,,1,1,1,0.112500,0.137500,0.800000
llama3.2:3b,0,1,0,80,,1,1,1,0.150000,0.100000,0.737500
llama3.2:3b,0,1,0,80,,1,1,1,0.100000,0.162500,0.562500
llama3.2:3b,0,1,0,80,,1,1,1,0.100000,0.100000,0.712500
llama3.2:3b,0,1,0,80,,1,1,1,0.100000,0.150000,0.687500
llama3.2:3b,0,1,0,80,,1,1,1,0.125000,0.150000,0.700000
llama3.2:3b,0,1,0,80,,1,1,1,0.150000,0.125000,0.700000
llama3.2:3b,0,1,0,80,,1,1,1,0.062500,0.225000,0.625000
llama3.2:3b,0,1,0,80,,1,1,1,0.087500,0.237500,0.662500
llama3.2:3b,5,1,0,80,,1,1,1,0.175000,0.112500,0.737500
